,conj_cliente,custo_solucao_local
0,K3E1C10J1,61196.555555555555
1,K3E1C15J1,49928.46666666667
2,K3E1C18J1,32420.8125
3,K3E2C10J1,28346.5
4,K3E2C15J1,49987.57142857143
5,K3E2C18J1,44890.5
6,K3E3C10J1,74885.75
7,K3E3C15J1,53904.28571428572
8,K3E3C18J1,73599.38888888889
9,K5E1C10J1,36891.77777777778
10,K5E1C15J1,44699.21428571428
11,K5E1C18J1,65018.58823529412
12,K5E2C10J1,48257.6
13,K5E2C15J1,48073.6
14,K5E2C18J1,50038.294117647056
15,K5E3C10J1,30026.9
16,K5E3C15J1,36407.0
17,K5E3C18J1,60752.833333333336
18,K5E4C10J1,39292.75
19,K5E4C15J1,64245.86666666667
20,K5E4C18J1,40753.23529411765
21,K5E5C10J1,48913.4
22,K5E5C15J1,35221.666666666664
23,K5E5C18J1,41923.5
24,K7E1C10J1,52016.555555555555
25,K7E1C15J1,36725.333333333336
26,K7E1C18J1,36051.882352941175
27,K7E2C10J1,44176.11111111111
28,K7E2C15J1,43883.42857142857
29,K7E2C18J1,49557.23529411765
30,K7E3C10J1,47224.9
31,K7E3C15J1,52915.78571428572
32,K7E3C18J1,26827.833333333332
33,K7E4C10J1,45685.1
34,K7E4C15J1,65615.8
35,K7E4C18J1,40559.77777777778
36,K7E5C10J1,28551.555555555555
37,K7E5C15J1,19323.533333333333
38,K7E5C18J1,52992.5
39,K7E6C10J1,25306.8
40,K7E6C15J1,49163.73333333333
41,K7E6C18J1,62062.0
42,K7E7C10J1,26042.0
43,K7E7C15J1,40285.46666666667
44,K7E7C18J1,61617.444444444445
